DISTRICT,DATE,POLLULLANT,TYPE,URBAN_AREA,RATIO,ID,Status,MEAN
GRÀCIA,2023-10-11,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,5.083333333333333
SANT MARTÍ,2023-10-11,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,8.458333333333334
LES CORTS,2023-10-11,NO2,background,urban,GREEN_AREA_Q2,Low,Good,17.416666666666668
HORTA - GUINARDÓ,2023-10-11,PM10,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,21.375
GRÀCIA,2023-10-11,NOX,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,38.166666666666664
EIXAMPLE,2023-10-11,O3,traffic,urban,GREEN_AREA_Q1,Moderate,Good,45.875
HORTA - GUINARDÓ,2023-10-11,NOX,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,33.708333333333336
NOU BARRIS - SANT ANDREU,2023-10-11,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Regular,42.5
HORTA - GUINARDÓ,2023-10-11,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,262.5
GRÀCIA,2023-10-11,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,20.708333333333332
EIXAMPLE,2023-10-11,PM10,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,25.416666666666668
EIXAMPLE,2023-10-11,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,404.1666666666667
SANTS - MONTJUÏC,2023-10-11,NO2,background,urban,GREEN_AREA_Q2,High,Reasonably good,22.375
EIXAMPLE,2023-10-11,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Regular,40.458333333333336
GRÀCIA,2023-10-11,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,2.0
SANT MARTÍ,2023-10-11,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,34.375
SANT MARTÍ,2023-10-11,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,37.166666666666664
HORTA - GUINARDÓ,2023-10-11,NO2,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,25.625
LES CORTS,2023-10-11,PM10,background,urban,GREEN_AREA_Q2,Low,Good,12.708333333333334
HORTA - GUINARDÓ,2023-10-11,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,5.416666666666667
EIXAMPLE,2023-10-11,PM2.5,traffic,urban,GREEN_AREA_Q1,Moderate,Unfavorable,12.291666666666666
LES CORTS,2023-10-11,NO,background,urban,GREEN_AREA_Q2,Low,Good,3.125
SANT MARTÍ,2023-10-11,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,25.291666666666668
NOU BARRIS - SANT ANDREU,2023-10-11,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,8.083333333333334
SARRIÀ - SANT GERVASI,2023-10-11,PM10,background,suburban,GREEN_AREA_Q1,Low,Good,15.25
GRÀCIA,2023-10-11,NO2,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,30.666666666666668
GRÀCIA,2023-10-11,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,237.5
HORTA - GUINARDÓ,2023-10-11,O3,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,64.16666666666667
SANTS - MONTJUÏC,2023-10-11,NO,background,urban,GREEN_AREA_Q2,High,Good,4.541666666666667
GRÀCIA,2023-10-11,O3,traffic,urban,GREEN_AREA_Q4,Low,Good,57.875
LES CORTS,2023-10-11,SO2,background,urban,GREEN_AREA_Q2,Low,Good,2.0
SARRIÀ - SANT GERVASI,2023-10-11,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,6.1867665501602565
SANTS - MONTJUÏC,2023-10-11,NOX,background,urban,GREEN_AREA_Q2,High,Reasonably good,28.666666666666668
NOU BARRIS - SANT ANDREU,2023-10-11,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,30.291666666666668
CIUTAT VELLA,2023-10-11,NOX,background,urban,GREEN_AREA_Q3,Low,Unfavorable,54.625
SARRIÀ - SANT GERVASI,2023-10-11,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,10.427151165544872
CIUTAT VELLA,2023-10-11,NO,background,urban,GREEN_AREA_Q3,Low,Good,11.916666666666666
SARRIÀ - SANT GERVASI,2023-10-11,NO,background,suburban,GREEN_AREA_Q1,Low,Good,4.023305011698718
LES CORTS,2023-10-11,CO,background,urban,GREEN_AREA_Q2,Low,Good,254.16666666666666
HORTA - GUINARDÓ,2023-10-11,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,1.4583333333333333
EIXAMPLE,2023-10-11,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,15.25
EIXAMPLE,2023-10-11,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,6.541666666666667
